Tiempo desde erupcion (d);Magnitud;error (mag);Banda
1,65834;7,46;0,009;V
1,658711;7,468;0,01;V
1,659081;7,486;0,01;V
1,659463;7,474;0,009;V
1,659845;7,477;0,01;V
1,660227;7,495;0,009;V
1,660586;7,474;0,01;V
1,660968;7,481;0,01;V
1,661349;7,487;0,01;V
1,661731;7,504;0,009;V
1,66209;7,477;0,009;V
1,662472;7,497;0,01;V
1,662854;7,479;0,01;V
1,663213;7,511;0,009;V
1,663595;7,476;0,01;V
1,663977;7,5;0,009;V
1,664359;7,483;0,01;V
1,664729;7,496;0,009;V
1,665099;7,482;0,009;V
1,665481;7,48;0,01;V
1,665863;7,479;0,009;V
1,666245;7,498;0,01;V
1,666627;7,5;0,009;V
1,666986;7,439;0,009;V
1,667356;7,468;0,009;V
1,667738;7,485;0,01;V
1,66812;7,453;0,01;V
1,668502;7,503;0,009;V
1,668884;7,457;0,01;V
1,669266;7,45;0,009;V
1,669648;7,439;0,01;V
1,67003;7,481;0,01;V
1,670412;7,463;0,009;V
1,670794;7,465;0,01;V
1,671176;7,461;0,01;V
1,671558;7,47;0,01;V
1,67194;7,473;0,01;V
1,672322;7,508;0,01;V
1,672704;7,47;0,01;V
1,673086;7,503;0,01;V
1,673468;7,447;0,01;V
1,673849;7,432;0,01;V
1,674231;7,459;0,01;V
1,674613;7,468;0,01;V
1,674995;7,404;0,011;V
1,675377;7,487;0,01;V
1,675759;7,467;0,01;V
1,676141;7,494;0,01;V
1,676512;7,456;0,01;V
1,676893;7,433;0,01;V
1,678039;7,512;0,01;V
1,67841;7,461;0,01;V
1,678792;7,455;0,01;V
1,679162;7,464;0,01;V
1,679532;7,456;0,01;V
1,679914;7,478;0,01;V
1,680296;7,411;0,011;V
1,680678;7,446;0,014;V
1,68596;7,528;0,011;V
1,9194;7,612;0,001;V
1,92206;7,594;0,001;V
1,92375;7,579;0,001;V
1,924914;7,544;0,012;V
1,925528;7,536;0,011;V
1,92565;7,609;0,001;V
1,92613;7,526;0,005;V
1,926743;7,516;0,012;V
1,92735;7,561;0,001;V
1,927356;7,532;0,009;V
1,92776;7,511;0,003;V
1,92797;7,555;0,016;V
1,928583;7,508;0,013;V
1,929197;7,551;0,013;V
1,92981;7,553;0,022;V
1,92989;7,584;0,001;V
1,930412;7,552;0,022;V
1,931014;7,53;0,019;V
1,931639;7,53;0,004;V
1,93222;7,631;0,001;V
1,932252;7,552;0,012;V
1,932866;7,549;0,021;V
1,933479;7,557;0,019;V
1,934093;7,524;0,01;V
1,934718;7,546;0,012;V
1,93497;7,591;0,001;V
1,935331;7,563;0,018;V
1,935944;7,541;0,011;V
1,936546;7,528;0,009;V
1,93708;7,57;0,001;V
1,93941;7,566;0,001;V
1,94175;7,633;0,001;V
1,94523;7,614;0,001;V
1,94751;7,616;0,001;V
1,95007;7,611;0,001;V
1,9525;7,604;0,001;V
1,95492;7,614;0,001;V
1,95707;7,639;0,001;V
1,9594;7,598;0,001;V
1,9642;7,609;0,001;V
1,96754;7,614;0,001;V
1,97024;7,563;0,001;V
1,97305;7,608;0,001;V
1,9755;7,591;0,001;V
1,97903;7,599;0,001;V
1,9821;7,582;0,001;V
1,98442;7,589;0,001;V
1,98777;7,598;0,001;V
1,98977;7,582;0,001;V
1,99299;7,575;0,001;V
1,99516;7,594;0,001;V
1,99741;7,622;0,001;V
2,00012;7,595;0,001;V
2,00252;7,585;0,001;V
2,00546;7,604;0,001;V
2,00736;7,607;0,001;V
2,011;7,584;0,001;V
2,01302;7,607;0,001;V
2,01585;7,593;0,001;V
2,01839;7,602;0,001;V
2,02036;7,624;0,001;V
2,02284;7,621;0,001;V
2,02545;7,627;0,001;V
2,028;7,63;0,001;V
2,03058;7,605;0,001;V
2,03315;7,621;0,001;V
2,03558;7,641;0,001;V
2,0385;7,645;0,001;V
2,04108;7,645;0,001;V
2,04376;7,661;0,001;V
2,04605;7,654;0,001;V
2,04828;7,634;0,001;V
2,05229;7,632;0,001;V
2,05536;7,626;0,001;V
2,05857;7,67;0,001;V
2,06188;7,644;0,001;V
2,06608;7,665;0,001;V
